Date (MM/DD/YYYY),delay_class,Arrival Time,EWR,IAD,ORD,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,wind_spd,temp,wind_dir,weather,precip,pres,vis,clouds,dewpt,rh,wind_gust_spd
2022-05-07 20:51:00,on-time,20:51,0,0,1,0,0,0,0,1,0,3.933333333333333,16.833333333333332,73.33333333333333,800.0,0.0,983.8333333333334,16.0,0.0,3.3000000000000003,41.0,4.366666666666667
2022-05-08 15:09:00,on-time,15:09,0,0,0,0,0,0,0,0,0,4.8,18.5,116.66666666666667,800.0,0.0,987.1,16.0,0.0,6.1000000000000005,44.333333333333336,6.333333333333333
2022-05-08 20:51:00,severely late,20:51,0,0,1,0,0,0,0,0,0,5.5,15.933333333333332,120.0,800.0,0.0,985.0333333333333,16.0,0.0,4.833333333333333,47.666666666666664,7.333333333333333
2022-05-09 15:09:00,on-time,15:09,0,0,0,1,0,0,0,0,0,9.1,23.5,140.0,800.0,0.0,986.0333333333333,16.0,0.0,10.533333333333333,44.0,14.666666666666666
2022-05-09 20:51:00,early,20:51,0,0,1,1,0,0,0,0,0,6.866666666666667,23.133333333333336,150.0,800.0,0.0,984.8000000000001,16.0,0.0,9.999999999999998,43.333333333333336,12.333333333333334
2022-05-10 15:09:00,on-time,15:09,0,0,0,0,0,0,0,0,1,4.633333333333333,26.833333333333332,173.33333333333334,803.6666666666666,0.0,989.3333333333334,16.0,79.0,18.933333333333334,62.0,8.0
2022-05-10 20:51:00,late,20:51,0,0,1,0,0,0,0,0,1,4.433333333333333,26.7,143.33333333333334,801.3333333333334,0.0,988.6,16.0,33.333333333333336,19.633333333333336,65.33333333333333,4.933333333333334
2022-05-11 15:09:00,on-time,15:09,0,0,0,0,1,0,0,0,0,4.766666666666667,30.366666666666664,116.66666666666667,803.3333333333334,0.0,991.5333333333333,16.0,66.33333333333333,20.1,54.333333333333336,5.333333333333333
2022-05-11 20:51:00,severely late,20:51,0,0,1,0,1,0,0,0,0,3.266666666666667,27.433333333333337,133.33333333333334,800.0,0.0,990.1,16.0,0.0,18.400000000000002,58.0,3.533333333333333
2022-05-12 15:09:00,late,15:09,0,0,0,1,0,0,0,0,0,6.866666666666667,28.5,150.0,800.0,0.0,989.9,16.0,0.0,7.1000000000000005,26.0,9.333333333333334
2022-05-12 20:51:00,on-time,20:51,0,0,1,1,0,0,0,0,0,3.4,26.5,140.0,800.0,0.0,987.6666666666666,16.0,0.0,5.6000000000000005,26.333333333333332,3.733333333333333
